id,status,target_surface,app_category,app_subcategory,title,price_text,price_value,currency,city,country,seller,phone,description,image_urls,source_site,source_url,scraped_at,make,model,trim,year,condition,transmission,color,mileage_km,attributes,source_availability,source_availability_checked_at,source_http_status,source_unavailable_reason,source_last_seen_at,source_resolved_url,source_miss_count,source_miss_recorded_at,sync_visibility,sync_visibility_reason
opensooq-ae-283476854,published,marketplace,other,furniture_home_decor,Brand New Furniture,AED 199,199,AED,Dubai,United Arab Emirates,OpenSooq seller,,More information call us the contact option on the OpenSooq listing Or WhatsApp,https://opensooq-imagesv2.os-cdn.com/previews/700x0/1d/08/1d08d2a5bf78f4ed1270ebd1f081e9d1a7ff1df93b3f102b55316763070166bc.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/283476854,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/283476854""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/283476854,0,,visible,
opensooq-ae-285273652,published,marketplace,other,furniture_home_decor,URGENT SALE – WALTER KNOLL MORGAN 465 LIVING ROOM SET,"AED 22,000",22000,AED,Dubai,United Arab Emirates,OpenSooq seller,,URGENT SALE – WALTER KNOLL MORGAN 465 LIVING ROOM SET Bulk purchase opportunity – Abu Dhabi Premium Walter Knoll Morgan 465 living room furniture available for an urgent bulk sale. Set Includes: • 4 × Black Leather Sofas • 4 × White Leather Sofas • 14 × Black Leather Armchairs • 14 × White Leath,https://opensooq-imagesv2.os-cdn.com/previews/700x0/39/f0/39f0cb6549679d719d5598150ff504f68b210dd08100bab4e45cbb74c7182de9.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/285273652,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/285273652""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/285273652,0,,visible,
opensooq-ae-285876408,published,marketplace,other,furniture_home_decor,Brand New office Furniture For selling,AED 150,150,AED,Dubai,United Arab Emirates,OpenSooq seller,,I have so many Furniture the contact option on the OpenSooq listing more information callus,https://opensooq-imagesv2.os-cdn.com/previews/700x0/2a/17/2a177d24ab6538f5ba78650f52c4747a0f9888e8b089d60f6301b704be56ae57.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/285876408,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/285876408""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/285876408,0,,visible,
opensooq-ae-286266626,published,marketplace,other,furniture_home_decor,طاولة طعام مع الكراسي,"AED 2,000",2000,AED,Dubai,United Arab Emirates,OpenSooq seller,,Table and chair for kitchen or living room طاولةوكراسي للطعام,https://opensooq-imagesv2.os-cdn.com/previews/700x0/42/0c/420cade3074c61fa5fcd27d75a1554397d63886f766d8da5decdd78eb06b57d1.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/286266626,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/286266626""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/286266626,0,,visible,
opensooq-ae-286330926,published,marketplace,other,furniture_home_decor,عربة أطفال من مذركير استخدام أقل عن 8شهور,"AED 1,050",1050,AED,Dubai,United Arab Emirates,OpenSooq seller,,عربة أطفال من براند مذركير استعمال أقل عن 8 شهور وبشكل خفيف ونضيف ومعه كارسيت للسياره وكرسي مع جميع ملحقاته الي له خاطر فاله طيب,https://opensooq-imagesv2.os-cdn.com/previews/700x0/55/0e/550ef3aac88c89cd368020f50c52029e8c9fa79a0e494ba257eec3d59e1b0704.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/286330926,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/286330926""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/286330926,0,,visible,
opensooq-ae-286346054,published,marketplace,other,furniture_home_decor,Wholesale & Customized Chairs – All Designs Available UAE Delivery All over UAE whole sale p,AED 350,350,AED,Dubai,United Arab Emirates,OpenSooq seller,,"WHOLESALE & CUSTOMIZED CHAIRS IN UAE ALL DESIGNS AVAILABLE BULK ORDERS Looking for high-quality, stylish and affordable chairs in the UAE? We offer a wide range of wholesale and customized chairs in different designs, colors, materials and finishes. Whether you need chairs for a restaurant, café",https://opensooq-imagesv2.os-cdn.com/previews/700x0/1d/06/1d0616d16e5b5bf27fd5a2757fd378f45043ff792367c343200072c86578ef13.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/286346054,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/286346054""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/286346054,0,,visible,
opensooq-ae-286358434,published,marketplace,other,furniture_home_decor,Modern Wood & Glass 8-Seater Dining Set with French Country Chairs- Dining Table,AED 700,700,AED,Dubai,United Arab Emirates,OpenSooq seller,,"Key Features & Description Design & Style: Contemporary rustic design featuring a heavy rectangular wooden base, sleek metallic/chrome support structure, and a clear protective glass top. Seating Capacity: Accommodates 8 people comfortably (comes with 8 matching chairs). Chair Style: Classic Fren",https://opensooq-imagesv2.os-cdn.com/previews/700x0/42/95/429567d242ac68b11856cd0a4d8ca0470bef0c89a25b39dc6c4b66c420a547b4.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/286358434,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/286358434""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/286358434,0,,visible,
opensooq-ae-286368174,published,marketplace,other,furniture_home_decor,يوجد اثاث منزل مستعمل بحال الوكاله في دبي جميرا سيركل,AED 100,100,AED,Dubai,United Arab Emirates,OpenSooq seller,,في داع السفر,https://opensooq-imagesv2.os-cdn.com/previews/700x0/09/04/090459e19bcff9efbdc6c7da71fce6de49842c2df0531df7532f47601d77b5b7.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/286368174,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/286368174""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/286368174,0,,visible,
opensooq-ae-286372672,published,marketplace,other,furniture_home_decor,New product good and nice quality Mdf,AED 600,600,AED,Dubai,United Arab Emirates,OpenSooq seller,,"Dining table without chairs New product Model and quality is same photos Ghoroob , mirdif the contact option on the OpenSooq listing Price , 600 AED Negotiable",https://opensooq-imagesv2.os-cdn.com/previews/700x0/b3/49/b349d2af503def486072a54e8edf5cca3df84256040b787a2029cd01cb52a726.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/286372672,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/286372672""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/286372672,0,,visible,
opensooq-ae-286376596,published,marketplace,other,furniture_home_decor,اثاث صاله للبيع,"AED 3,000",3000,AED,Dubai,United Arab Emirates,OpenSooq seller,,طقم جلوس وطاولة تلفاز وطاولة طعام بحاله ممتاز,https://opensooq-imagesv2.os-cdn.com/previews/700x0/43/c0/43c0555231e97c30b5bbdfe4175a4e4e335bdafdffd32b0bd08b3eb03a6f8f68.jpg.webp,OpenSooq,https://ae.opensooq.com/en/search/286376596,2026-08-31T18:17:02Z,,,,,,,,,"{""parser"":""opensooq_json_ld"",""sourceCategory"":""Home and furniture"",""sourceListUrl"":""https://ae.opensooq.com/en/dubai/home-garden"",""neighborhood"":"""",""sourceLocation"":""Dubai, UAE"",""contactSource"":""OpenSooq source listing"",""imageQuality"":""source_gallery_2048"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://ae.opensooq.com/en/search/286376596""}",active,2026-08-31T18:17:02Z,200,,2026-08-31T18:17:02Z,https://ae.opensooq.com/en/search/286376596,0,,visible,
