id,status,target_surface,app_category,app_subcategory,title,price_text,price_value,currency,city,country,seller,phone,description,image_urls,source_site,source_url,scraped_at,make,model,trim,year,condition,transmission,color,mileage_km,attributes,source_availability,source_availability_checked_at,source_http_status,source_unavailable_reason,source_last_seen_at,source_resolved_url,source_miss_count,source_miss_recorded_at,sync_visibility,sync_visibility_reason
jacars-2522040,published,marketplace,real_estate,for_sale,Prefabricated Container Homes,"JA$ 600,000",600000,JMD,Saint Andrew,Jamaica,JACars Other Real Estate,+187646064XX,"Prefabricated container homes for sale... 20ft, 15ft and 10ft options available with cement fiber flooring, wall panels and double glazed windows, no bathroom included contact if interested 8767079897",https://cdn2.jacars.net/media/cache/43/e6/43e6abc7d1f3c8e60231c5159544dfb3.webp|https://cdn2.jacars.net/media/cache/13/59/1359fc16c88839388100bd5cc28d89f5.webp|https://cdn2.jacars.net/media/cache/ca/48/ca4833984b1383ef97d9ff158c8f9fbe.webp|https://cdn2.jacars.net/media/cache/a3/99/a3995932fe25ce228798ba4001bc3729.webp,JACars Other Real Estate,https://www.jacars.net/adv/2522040_prefabricated-container-homes/,2026-08-09T05:26:30.707Z,,,,,good,,,,"{""sourceDate"":""today"",""sourcePostedAt"":""2026-08-09T05:26:30.707Z"",""parser"":""jacars"",""sourceCategory"":""JACars Other Real Estate"",""appSubcategory"":""for_sale"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2522040_prefabricated-container-homes/""}",,,,,,https://www.jacars.net/adv/2522040_prefabricated-container-homes/,,,visible,
jacars-2512301,published,vehicles,vehicles,vehicles,"Audi Q5 2,0L 2023","JA$ 6,750,000 JA$ 8,000,000",67500008000000,JMD,Kingston,Jamaica,JACars Cars,+187686100XX,Dealer bought and serviced.,https://cdn2.jacars.net/media/cache/a2/bb/a2bb9e261518cf2fabbd7ee28f07b11a.webp|https://cdn2.jacars.net/media/cache/93/91/9391ed5674f18c180ab946a5a632dbcd.webp|https://cdn2.jacars.net/media/cache/11/4d/114dd5ddbea4061d108d670ef269113b.webp|https://cdn2.jacars.net/media/cache/81/f7/81f77998157c0cb2af07168cdb4dc161.webp,JACars Cars,https://www.jacars.net/adv/2512301_audi-q5-2-0l-2023/,2026-08-09T04:26:30.668Z,Audi,Q5,,2023,used,,,,"{""sourceDate"":""1 hour ago"",""sourcePostedAt"":""2026-08-09T04:26:30.668Z"",""parser"":""jacars"",""sourceCategory"":""JACars Cars"",""appSubcategory"":""vehicles"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2512301_audi-q5-2-0l-2023/""}",,,,,,https://www.jacars.net/adv/2512301_audi-q5-2-0l-2023/,,,visible,
jacars-2522026,published,vehicles,vehicles,vehicles,"Toyota Noah 2,0L 2008",JA$ 990,990,JMD,Saint Catherine,Jamaica,JACars Cars,+187659591XX,Good condition everything works,https://cdn2.jacars.net/media/cache/18/cc/18cc6d8fa7b0803f6e2aa7ded3b106c3.webp|https://cdn2.jacars.net/media/cache/d6/d4/d6d466352cbf3432fd4f4d76a060474a.webp|https://cdn2.jacars.net/media/cache/b4/e7/b4e71bf085b5793fd4b962d1403ca486.webp|https://cdn2.jacars.net/media/cache/7b/88/7b88418766330573b380f317274b4617.webp,JACars Cars,https://www.jacars.net/adv/2522026_toyota-noah-2-0l-2008/,2026-08-08T16:00:00.000Z,Toyota,Noah,,2008,used,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Cars"",""appSubcategory"":""vehicles""}",,,,,,,,,visible,
jacars-2521964,published,vehicles,vehicles,vehicles,"Toyota Voxy 2,0L 2016",Negotiable,0,JMD,Saint James,Jamaica,Gates Auto,+18768507950,Dm/8768507960 🔥🔥🔥 📌Newly imported 📌Roof DVD 📌Fully loaded 📌Great Drive,https://cdn2.jacars.net/media/cache/85/a4/85a4e291faa918d44397fc75588c1e1e.webp|https://cdn2.jacars.net/media/cache/c1/8a/c18aab864ddfc410f44e45a71a97a9b8.webp|https://cdn2.jacars.net/media/cache/30/af/30afa873ac88aa9a80aa979f0831dcdd.webp|https://cdn2.jacars.net/media/cache/39/99/39996a022111f2b195895752a96f2e97.webp,JACars Cars,https://www.jacars.net/adv/2521964_toyota-voxy-2-0l-2016/,2026-08-08T16:00:00.000Z,Toyota,Voxy,,2016,used,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Cars"",""appSubcategory"":""vehicles"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2521964_toyota-voxy-2-0l-2016/""}",,,,,,https://www.jacars.net/adv/2521964_toyota-voxy-2-0l-2016/,,,visible,
jacars-2521958,published,vehicles,vehicles,repairs,Dadu private transportation services,"JA$ 111,111",111111,JMD,Saint James,Jamaica,JACars Auto Services,+18764895156,Book your personal driver now for good rate and travel safe and pick you up and drop you off safe any were you want to go,https://cdn2.jacars.net/media/cache/0a/44/0a443af9929d92076d78380de5cc618c.webp|https://cdn2.jacars.net/media/cache/8a/77/8a775f5e35690795246afca4373b462c.webp,JACars Auto Services,https://www.jacars.net/adv/2521958_dadu-private-transportation-services/,2026-08-08T16:00:00.000Z,,,,,good,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Auto Services"",""appSubcategory"":""repairs"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2521958_dadu-private-transportation-services/""}",,,,,,https://www.jacars.net/adv/2521958_dadu-private-transportation-services/,,,visible,
jacars-2521957,published,vehicles,vehicles,vehicles,"Toyota Mark X 2,0L 2012","JA$ 1,650,000",1650000,JMD,Saint Catherine,Jamaica,Autoworld jamaica,+18768799734,"LIGHTLY USED 2012 TOYOTA MARK X (LUXURY) 🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰🟰 ⚪️Steering controls ✔️ ⚪️zero accident ✔️ ⚪️No parts needed✔️ ⚪️vehicle drives amazing ✔️ ⚪️A/c Ice🧊land ✔️ ⚪️well kept ✔️ ⚪️Full tank of gas ✔️ ⚪️Toyota classic radio✔️ ⚪️clean interior ✔️ ⚪️Low miles ✔️ ⚪️solid engine ✔️ ⚪️solid transmission ✔️ ⚪️buy and drive ✔️ 💸PRICE : $1,650,000 NEG ®️ ⚪️CALL FOR VIEWING ⚪️APPOINTMENTS ONLY 📧AUTOWORLDJAMAICA@GMAIL.COM ☎️CALL OR WHATSAPP 876-879-9734 or 876-384-4518 📍LOCATED IN PORTMORE",https://cdn2.jacars.net/media/cache/61/b5/61b56c79c918ce807c06ffa3d624f984.webp|https://cdn2.jacars.net/media/cache/ba/b9/bab9b7545b4035747a684caad36ed3ca.webp|https://cdn2.jacars.net/media/cache/e7/1f/e71fb1053e52cb7159ab510f637a57ba.webp|https://cdn2.jacars.net/media/cache/93/a3/93a3ac07fac9346af86348f7aeafded8.webp,JACars Cars,https://www.jacars.net/adv/2521957_toyota-mark-x-2-0l-2012/,2026-08-08T16:00:00.000Z,Toyota,Mark X,,2012,used,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Cars"",""appSubcategory"":""vehicles"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2521957_toyota-mark-x-2-0l-2012/""}",,,,,,https://www.jacars.net/adv/2521957_toyota-mark-x-2-0l-2012/,,,visible,
jacars-2521950,published,vehicles,vehicles,auto_parts,2013-2016 Nissan Note E12 Genuine Nose Cut Fresh Japanese Import,JA$ 1,1,JMD,Manchester,Jamaica,Zig Zag Auto Parts & Car Sales Limited,+18762354486,"🚨 NEW ARRIVAL – FRESH IMPORT FROM JAPAN! 🇯🇵 🚨 2013–2016 Nissan Note E12 Genuine Nose Cut Now available at Zig Zag Auto Parts & Car Sales LTD. ✅ Genuine Nissan Nose Cut ✅ Fits 2013–2016 Nissan Note E12 ✅ Fresh Japanese Import ✅ Excellent Used Condition ✅ Ideal for Accident Repairs & Replacement ✅ Quality OEM Parts Contact us today for pricing and availability. 📍 Zig Zag Auto Parts & Car Sales LTD. 73 Manchester Road, Mandeville, Jamaica 📱 Call / WhatsApp: (876) 873-9901 (876) 235-4486 We also stock genuine engines, transmissions, body parts, suspension parts, lights, and a wide range of Japanese auto parts. #ZigZagAuto #NissanNote #NissanNoteE12 #E12 #NissanNoseCut #NoseCut #GenuineNissan #NissanParts #JDMParts #ImportedFromJapan #FreshImport #UsedAutoParts #JapaneseAutoParts #AutoPartsJamaica #Mandeville #JamaicaAutoParts",https://cdn2.jacars.net/media/cache/fe/4c/fe4c94e3ee54d42f2a18f4b344660f1a.webp|https://cdn2.jacars.net/media/cache/29/77/29775552569d4889d316b992efc27b1d.webp|https://cdn2.jacars.net/media/cache/29/5c/295cabcf05b7827710ac1e14e13b0ebe.webp|https://cdn2.jacars.net/media/cache/f3/7d/f37da46e093613cebe86ef995ec336e0.webp,JACars Car Parts,https://www.jacars.net/adv/2521950_2013-2016-nissan-note-e12-genuine-nose-cut-fresh-japanese-import/,2026-08-08T16:00:00.000Z,,,,2013,good,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Car Parts"",""appSubcategory"":""auto_parts"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2521950_2013-2016-nissan-note-e12-genuine-nose-cut-fresh-japanese-import/""}",,,,,,https://www.jacars.net/adv/2521950_2013-2016-nissan-note-e12-genuine-nose-cut-fresh-japanese-import/,,,visible,
jacars-2521815,published,vehicles,vehicles,vehicles,"Honda Fit 1,5L 2023","JA$ 2,500,000",2500000,JMD,Saint Catherine,Jamaica,JACars Cars,+18768604480,"2023 Honda Fit (Newly Imported) Tel#: 8768604480 🔹 2 Wheel Drive 🔹 Automatic Transmission 🔹 Push Button Start 🔹 Handgrip Keyless Entry 🔹 All Round Anti-Collision Sensors 🔹 Navigation System 🔹 Reverse Camera 🔹 Powered Windows 🔹 Powered Foldable Mirrors 🔹 Lane Departure Assistance System 🔹 1.5L Petrol Engine 🔹 Odometer Reading 85,300km 🔹Free Fitness, Evaluation, 1st Service and a Full Tank of Fuel.",https://cdn2.jacars.net/media/cache/b1/0f/b10f98376139c3a95807e37e2510b82e.webp|https://cdn2.jacars.net/media/cache/a0/34/a034a7d756747db16dbf4de217f02a8b.webp|https://cdn2.jacars.net/media/cache/46/02/46024d87a261e9fd4d57719d24614e96.webp|https://cdn2.jacars.net/media/cache/2a/c1/2ac14ae9051ccd32cbc30218b710e981.webp,JACars Cars,https://www.jacars.net/adv/2521815_honda-fit-1-5l-2023/,2026-08-08T16:00:00.000Z,Honda,Fit,,2023,used,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Cars"",""appSubcategory"":""vehicles"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2521815_honda-fit-1-5l-2023/""}",,,,,,https://www.jacars.net/adv/2521815_honda-fit-1-5l-2023/,,,visible,
jacars-2521393,published,vehicles,vehicles,vehicles,"Honda Vezel 1,5L 2024","JA$ 5,300,000",5300000,JMD,Saint Mary,Jamaica,North Coast Auto Sales,+18767904717,2024 Honda Vezel Fully Loaded Contact 8767904717,https://cdn2.jacars.net/media/cache/c7/f7/c7f79bdac5724d13b71701539c32265a.webp|https://cdn2.jacars.net/media/cache/71/5d/715d5217adec58e9833495200aae5412.webp|https://cdn2.jacars.net/media/cache/f8/6f/f86f6fe10fa25700ac5fd2ee6b177f3c.webp|https://cdn2.jacars.net/media/cache/ac/a3/aca351fa99482a03ff98fcf4b0ce83f8.webp,JACars Cars,https://www.jacars.net/adv/2521393_honda-vezel-1-5l-2024/,2026-08-08T16:00:00.000Z,Honda,Vezel,,2024,used,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Cars"",""appSubcategory"":""vehicles"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2521393_honda-vezel-1-5l-2024/""}",,,,,,https://www.jacars.net/adv/2521393_honda-vezel-1-5l-2024/,,,visible,
jacars-2519712,published,vehicles,vehicles,vehicles,"Toyota Hilux 2,8L 2026","JA$ 12,490,000",12490000,JMD,Manchester,Jamaica,Rom-Jan auto sales,+18764128837,One Year Warranty • Full Tank • Free Tint,https://cdn2.jacars.net/media/cache/04/40/044028935b43f731ff19cbe0cacda0c7.webp|https://cdn2.jacars.net/media/cache/37/a8/37a87f311156d7a717ab0a862dba9805.webp|https://cdn2.jacars.net/media/cache/bc/99/bc99499de1d6fd2d5b38a94c0035f18a.webp|https://cdn2.jacars.net/media/cache/d6/65/d665b74efb3e4eae2b691b14004520a2.webp,JACars Cars,https://www.jacars.net/adv/2519712_toyota-hilux-2-8l-2026/,2026-08-08T16:00:00.000Z,Toyota,Hilux,,2026,used,,,,"{""sourceDate"":""Yesterday"",""sourcePostedAt"":""2026-08-08T16:00:00.000Z"",""parser"":""jacars"",""sourceCategory"":""JACars Cars"",""appSubcategory"":""vehicles"",""imageQuality"":""source_detail_high_resolution"",""imageRefreshSource"":""jacars_gallery_full_api"",""imageRefreshAttemptedAt"":""2026-08-31T15:42:55.415Z"",""imageIntegrityVersion"":""2026-09-06.1"",""imageVerifiedAt"":""2026-09-07T00:05:03.876Z"",""imageSourceUrl"":""https://www.jacars.net/adv/2519712_toyota-hilux-2-8l-2026/""}",,,,,,https://www.jacars.net/adv/2519712_toyota-hilux-2-8l-2026/,,,visible,
