id,status,target_surface,app_category,app_subcategory,title,price_text,price_value,currency,city,country,seller,phone,description,image_urls,source_site,source_url,scraped_at,make,model,trim,year,condition,transmission,color,mileage_km,attributes,source_availability,source_availability_checked_at,source_http_status,source_unavailable_reason,source_last_seen_at,source_resolved_url
apify-35f7c6efc371,published,vehicles,vehicles,vehicles,Mazda 3 petrol G grade,"KSh 2,300,000",2300000,KES,Mombasa,Kenya,Genuine Car Deals,0729502944,,data/pigiame-clean-images/apify-35f7c6efc371-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/mazda-3-petrol-g-grade-6725471,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/1417e8bc8cb3815fa92cddbefe5faec8/-/horizon-files-prod/pi/picture/qng7vkk9/05bbcc091de7485bf66a39b64a7c5dec73c388ef.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T04:00:24.057Z"",""imageRefreshError"":""Blocked by anti-bot protection: Cloudflare interstitial (HTTP 403, 134812 bytes)""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/mazda-3-petrol-g-grade-6725471
apify-0ad5015dbf5c,published,vehicles,vehicles,vehicles,"Mercedes Benz GLA 250 4matic 2019 60,000 Kms","KSh 4,395,000",4395000,KES,Nairobi,Kenya,Faith Cars,0722763845,,data/pigiame-clean-images/apify-0ad5015dbf5c-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/mercedes-benz-gla-250-4matic-2019-60000-kms-6672196,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/c1b1e09e71902f4985527710e3858185/-/horizon-files-prod/pi/picture/q8vpn2dr/81e481f41bda6aa01ef7ba9767ed1d66ba3f77a8.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T04:00:24.057Z"",""imageRefreshError"":""Blocked by anti-bot protection: Cloudflare interstitial (HTTP 403, 134897 bytes)""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/mercedes-benz-gla-250-4matic-2019-60000-kms-6672196
apify-c12b4a2556be,published,vehicles,vehicles,vehicles,Toyota Sedan White Alloy Wheels Spacious Interior,"KSh 1,100,000",1100000,KES,Mombasa,Kenya,Pigiame,0797065220,,data/pigiame-clean-images/apify-c12b4a2556be-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/toyota-sedan-white-alloy-wheels-spacious-interior-6725463,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/6fb1075f0695be954a167917b9ef24dd/-/horizon-files-prod/pi/picture/q569n28e/50ef2027e6ef5fc392802cbc7c282ca33a294fe9.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T04:00:24.057Z"",""imageRefreshError"":""Blocked by anti-bot protection: Cloudflare interstitial (HTTP 403, 134915 bytes)""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/toyota-sedan-white-alloy-wheels-spacious-interior-6725463
apify-f00b5d29eecb,published,vehicles,vehicles,vehicles,Toyota Land Cruiser Prado SUV Spacious Comfort,"KSh 1,560,000",1560000,KES,Mombasa,Kenya,Pigiame,0797065220,,data/pigiame-clean-images/apify-f00b5d29eecb-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/toyota-land-cruiser-prado-suv-spacious-comfort-6725462,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/d99c790cf71c65695fd542b6951433c2/-/horizon-files-prod/pi/picture/qde0qzj8/d24911818044e3a22b50dede674fd19d9f46ace7.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T04:00:24.057Z"",""imageRefreshError"":""Blocked by anti-bot protection: Cloudflare interstitial (HTTP 403, 134906 bytes)""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/toyota-land-cruiser-prado-suv-spacious-comfort-6725462
apify-5489dd102be8,published,vehicles,vehicles,vehicles,Toyota Sedan Automatic with Touchscreen & Wood Trim,"KSh 1,650,000",1650000,KES,Mombasa,Kenya,Pigiame,0797065220,,data/pigiame-clean-images/apify-5489dd102be8-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/toyota-sedan-automatic-with-touchscreen-wood-trim-6725461,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/7533a94a1ac29dfca15f570a1da24025/-/horizon-files-prod/pi/picture/q2j7v2n6/57fcec44af900e6f55b8c8c971c4cc63d896ec07.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Blocked by anti-bot protection: Cloudflare interstitial (HTTP 403, 134917 bytes)""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/toyota-sedan-automatic-with-touchscreen-wood-trim-6725461
apify-2a6ef7f38be2,published,vehicles,vehicles,vehicles,Toyota Hiace White 15-Seater Passenger Van,"KSh 3,600,000",3600000,KES,Mombasa,Kenya,Pigiame,0797065220,,data/pigiame-clean-images/apify-2a6ef7f38be2-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/toyota-hiace-white-15-seater-passenger-van-6725452,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/88efed7e5f8645464929b5a644b52db3/-/horizon-files-prod/pi/picture/q8vp82x9/e3f3d216ec8a3e9f0069e67eb1519a2a81fa5f2b.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Blocked by anti-bot protection: Cloudflare interstitial (HTTP 403, 134896 bytes)""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/toyota-hiace-white-15-seater-passenger-van-6725452
apify-44a4460aeb02,published,vehicles,vehicles,vehicles,Mercedes benz S500,"KSh 16,000,000",16000000,KES,Mombasa,Kenya,Genuine Car Deals,0729502944,,data/pigiame-clean-images/apify-44a4460aeb02-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/mercedes-benz-s500-6725460,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/3c62c611f4f35a2c4a7b3fd2fde34456/-/horizon-files-prod/pi/picture/qpd095q4/adc1516a6e117362ec506ee436fdbdb5bf38bf74.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""No full-size source images were found.""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/mercedes-benz-s500-6725460
apify-e2a3902d8282,published,vehicles,vehicles,vehicles,Toyota Aqua Hybrid Blue Compact Fuel-Efficient,"KSh 1,170,000",1170000,KES,Mombasa,Kenya,Pigiame,0797065220,,data/pigiame-clean-images/apify-e2a3902d8282-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/toyota-aqua-hybrid-blue-compact-fuel-efficient-6725440,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/d2540b29ae5352ec75fa5eab0790bb3b/-/horizon-files-prod/pi/picture/qde0qz68/2212ed0a6651c163d48e3201f5c74df79390b4b0.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Blocked by anti-bot protection: Cloudflare interstitial (HTTP 403, 134908 bytes)""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/toyota-aqua-hybrid-blue-compact-fuel-efficient-6725440
apify-715d37b9c5f2,published,vehicles,vehicles,vehicles,Mazda 2,"KSh 1,500,000",1500000,KES,Mombasa,Kenya,Genuine Car Deals,0729502944,,data/pigiame-clean-images/apify-715d37b9c5f2-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/mazda-2-6725435,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""vehicles"",""sourceTags"":""vehicles"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/0b501be8c3056be61c1b254489a677d0/-/horizon-files-prod/pi/picture/qgqprk0k/8bbb85a987ad2c1056b04ae975e63c7e7fa3cd5f.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/mazda-2-6725435
apify-fb15cd202f59,published,marketplace,services,home_services,"Hospital Equipment Installation, Repair & Maintenance Kiambu",,,,Kiambu,Kenya,Pigiame,0722566999,,data/pigiame-clean-images/apify-fb15cd202f59-1.jpg,Pigiame,https://www.pigiame.co.ke/listings/hospital-equipment-installation-repair-maintenance-kiambu-6649631,2026-05-17T21:01:44Z,,,,,good,,,,"{""parser"":""apify_import"",""apifyDatasetId"":""MTqOrnuByEN35mz3c"",""rawId"":"""",""sourceCategory"":""services"",""sourceTags"":""services"",""originalImageUrls"":[""https://i.roamcdn.net/hz/pi/listing-thumb-224w/5c8afa4a0a06dad20d983668bd35a463/-/horizon-files-prod/pi/picture/q44067ze/470f17c43ac7f3a29e34da91b0ab0199f2bcc3d2.jpg""],""cleanedImageWidth"":640,""imageRefreshAttemptedAt"":""2026-08-27T16:00:24.068Z"",""imageRefreshError"":""Crawl4AI HTTP 500""}",unknown,2026-07-27T16:00:14.173Z,403,Blocked or rate limited: HTTP 403,,https://www.pigiame.co.ke/listings/hospital-equipment-installation-repair-maintenance-kiambu-6649631
