id,status,target_surface,app_category,app_subcategory,title,price_text,price_value,currency,city,country,seller,phone,description,image_urls,source_site,source_url,scraped_at,make,model,trim,year,condition,transmission,color,mileage_km,attributes
jacars-2504354,pending,vehicles,vehicles,cars,"BMW 5-Series 2,0L 2014","JA$ 2,000,000 JA$ 2,400,000",20000002400000,JMD,Kingston,Jamaica,JACars Vehicles,,"BMW 5-Series 2,0L 2014 - JA$ 2,000,000 JA$ 2,400,000 - Kingston - 4 days ago",https://cdn2.jacars.net/media/cache/61/05/6105b902e369228578759915b68eeb5b.webp|https://cdn2.jacars.net/media/cache/6f/02/6f0283e6d97cf0010f153c28022c9aeb.webp|https://cdn2.jacars.net/media/cache/b1/25/b12583a27e0a16d04542ce6a819c9798.webp|https://cdn2.jacars.net/media/cache/1c/d1/1cd1ea3eeb8861bc448ca8813e0e9df0.webp|https://cdn2.jacars.net/media/cache/56/b3/56b3bc10d5c08084013fde8c38ceac12.webp|https://cdn2.jacars.net/media/cache/d8/2e/d82e6cb6dfa64b5936b933fcdbf8455f.webp|https://cdn2.jacars.net/media/cache/4e/f9/4ef9b2b60082b53d38da76eb12a9eda2.webp|https://cdn2.jacars.net/media/cache/22/6a/226af2df4f41ad33a49fa164849cecd4.webp|https://cdn2.jacars.net/media/cache/ec/6b/ec6bcdd6864bea344bd945ca0ef7f8a6.webp|https://cdn2.jacars.net/media/cache/f7/a6/f7a6e9d6175b9927f668b33d99d0f128.webp,JACars Vehicles,/adv/2504354_bmw-5-series-2-0l-2005/,2026-05-05T19:59:25.497Z,BMW,5-Series,,2014,used,,,,"{""sourceDate"":""4 days ago"",""parser"":""jacars""}"
jacars-2510430,pending,vehicles,vehicles,cars,"Nissan Sylphy 1,6L 2017","JA$ 1,400,000",1400000,JMD,Saint Catherine,Jamaica,JACars Vehicles,,"Nissan Sylphy 1,6L 2017 - JA$ 1,400,000 - Saint Catherine - 4 days ago",https://cdn2.jacars.net/media/cache/5b/23/5b2300fc993b6370640c23755ec2e3bb.webp|https://cdn2.jacars.net/media/cache/55/1f/551f61b422ddb0c969d7c2e84633fe30.webp|https://cdn2.jacars.net/media/cache/b7/e8/b7e877fb25c753024c856ce5fff86e3a.webp|https://cdn2.jacars.net/media/cache/6f/93/6f93399db2704742b6456fbfe15d8bde.webp|https://cdn2.jacars.net/media/cache/7f/60/7f6029ce0ab6ec2fd27fc9fe313efc57.webp|https://cdn2.jacars.net/media/cache/e1/56/e156e9b0038ea57f85443e6eb3e3e354.webp|https://cdn2.jacars.net/media/cache/99/6e/996edadfcf2e6b8f9103d7484f5da308.webp|https://cdn2.jacars.net/media/cache/d2/79/d279c97ac441666647fab8f9c38bad81.webp|{{info.first_thumb}}|{{#if image}}{{image}}{{else}}/static/images/photoapparat-big.png{{/if}}|{{ imageMessage }}|/static/images/fb/jacars.png|https://www.jacars.net/static/images/store/eng_google.8aed8df6c4e8.png|https://www.jacars.net/static/images/store/eng_apple.0e573801ed66.png|https://www.jacars.net/static/images/tooltip/example_desktop.81650013a6bc.png|https://www.jacars.net/static/images/emongolia/emongolia-logo2.bd8513fb5def.svg|https://www.jacars.net/static/images/emongolia/icons/verified.3435614b120e.svg|https://www.jacars.net/static/images/emongolia/icons/calendar.4075a6c40bcf.svg|https://www.jacars.net/static/images/emongolia/icons/thumb.b516a2be2989.svg|{{support.manager.thumb}},JACars Vehicles,/adv/2510430_nissan-sylphy-1-6l-2017/,2026-05-05T19:59:25.497Z,Nissan,Sylphy,,2017,used,,,,"{""sourceDate"":""4 days ago"",""parser"":""jacars""}"
jacars-2510622,pending,vehicles,vehicles,cars,"Toyota Noah 2,0L 2016","JA$ 2,780,000",2780000,JMD,Saint Catherine,Jamaica,JACars Vehicles,,"Toyota Noah 2,0L 2016 - JA$ 2,780,000 - Saint Catherine - 4 days ago",https://cdn2.jacars.net/media/cache/4f/cd/4fcd92937ab519c60e698efbca2c09a9.webp|https://cdn2.jacars.net/media/cache/10/bf/10bf66a5e79f88b77e280711326dcc84.webp|https://cdn2.jacars.net/media/cache/16/a6/16a6a14bcb4ddb1ebc3d2934f4ba0a20.webp|https://cdn2.jacars.net/media/cache/19/54/19548c477a2c0bfd701dffa63570b6eb.webp|https://cdn2.jacars.net/media/cache/4d/0d/4d0de40e1f8136c1fdf98e702375e957.webp|https://cdn2.jacars.net/media/cache/fe/3a/fe3abd86c058982b2bd4c8600cbe5ba1.webp|https://cdn2.jacars.net/media/cache/d0/e5/d0e55c36cdade3a0f01b89b9a6244560.webp|https://cdn2.jacars.net/media/cache/05/a3/05a3069adda4feed5252be605bdf1aa2.webp|https://cdn2.jacars.net/media/cache/7a/32/7a32e2aaf48e9e970cfb092dfbccc9ca.webp|https://cdn2.jacars.net/media/cache/e0/b5/e0b518af19ec776b15e762f1c6c21e0f.webp|https://cdn2.jacars.net/media/cache/39/1d/391d5ff6f83455452060bf3a5c377790.webp|https://cdn2.jacars.net/media/cache/dc/83/dc83ee2f5717fce3c84e6734c0c9c929.webp,JACars Vehicles,/adv/2510622_toyota-noah-2-0l-2016/,2026-05-05T19:59:25.496Z,Toyota,Noah,,2016,used,,,,"{""sourceDate"":""4 days ago"",""parser"":""jacars""}"
jacars-2510631,pending,vehicles,vehicles,cars,"Honda Civic 1,5L 2016","JA$ 2,000,000",2000000,JMD,Kingston,Jamaica,JACars Vehicles,,"Honda Civic 1,5L 2016 - JA$ 2,000,000 - Kingston - 4 days ago",https://cdn2.jacars.net/media/cache/b4/a9/b4a9b7be9d47ef7cbbba9ecdf78de2db.webp|https://cdn2.jacars.net/media/cache/0b/e5/0be5b2acd91c8eb4196d5f7bee5b260d.webp|https://cdn2.jacars.net/media/cache/9b/2f/9b2fd4a4e1d8af4e54b9ec32f99df4f8.webp|https://cdn2.jacars.net/media/cache/78/fd/78fd12b1bb415d4986173d857f2dab59.webp|https://cdn2.jacars.net/media/cache/53/3b/533b15627f64cf96478d8c8cc4beb68f.webp|https://cdn2.jacars.net/media/cache/11/e8/11e878da88fabeac9497c271efbf7282.webp|https://cdn2.jacars.net/media/cache/f3/bb/f3bb57d5416d9d489829aef4d26565a0.webp,JACars Vehicles,/adv/2510631_honda-civic-1-5l-2016/,2026-05-05T19:59:25.495Z,Honda,Civic,,2016,used,,,,"{""sourceDate"":""4 days ago"",""parser"":""jacars""}"
jacars-2507918,pending,vehicles,vehicles,cars,"Mercedes-Benz GLE-Class 3,0L 2016","JA$ 5,780,000",5780000,JMD,Kingston,Jamaica,Andre,,"Mercedes-Benz GLE-Class 3,0L 2016 - JA$ 5,780,000 - Kingston - 4 days ago",https://cdn2.jacars.net/media/cache/18/91/1891abf961794586cfbdbfc5dfc0a9a1.webp|https://cdn2.jacars.net/media/cache/0d/ae/0dae8f93f726b85efbe602755c529ef4.webp|https://cdn2.jacars.net/media/cache/d8/62/d86256aa0b15446caf4e2a6a8b68e111.webp|https://cdn2.jacars.net/media/cache/c0/52/c052936bf6b61dfd8f630cdc0ef6c4c6.webp|https://cdn2.jacars.net/media/cache/f7/dc/f7dc3505f8db2c9aec5889b348569b6a.webp|https://cdn2.jacars.net/media/cache/fa/ff/faffe0e3f8c79383555c1849b1795b24.webp|https://cdn2.jacars.net/media/cache/39/26/39260325b3047d0abca0ffe1f4a9f653.webp|https://cdn2.jacars.net/media/cache/bf/cf/bfcff82c66ec05158f6aba07193246c9.webp|https://cdn2.jacars.net/media/cache/48/1c/481c8bd6f5dd3006af9abbae1f725ac6.webp|https://cdn2.jacars.net/media/cache/12/d2/12d222d4980038c8c3f9da058f1a70e3.webp|https://cdn2.jacars.net/media/cache/c0/47/c047c55da8c00de0395fe6a4e801f0cf.webp|https://cdn2.jacars.net/media/cache/60/78/60781f39448ea89bb9aa7ba0d91795bf.webp|https://cdn2.jacars.net/media/cache/ef/ca/efca3f6e8367d4e72fa23d9e73728174.webp|https://cdn2.jacars.net/media/cache/b7/8c/b78c4c237f6af2307e104080117db36b.webp|https://cdn2.jacars.net/media/cache/1d/ee/1dee4c7c773cf0ad9b4a6ae5019eabf7.webp|https://cdn2.jacars.net/media/cache/e5/e4/e5e42ab633ce27cd5db3744f851f35d8.webp,JACars Vehicles,/adv/2507918_mercedes-benz-gle-class-3-0l-2016/,2026-05-05T19:59:25.495Z,Mercedes-Benz,GLE-Class,,2016,used,,,,"{""sourceDate"":""4 days ago"",""parser"":""jacars""}"
jacars-2510670,pending,vehicles,vehicles,cars,"Toyota Mark X 2,5L 2015","JA$ 2,300,000",2300000,JMD,Saint Catherine,Jamaica,JACars Vehicles,,"Toyota Mark X 2,5L 2015 - JA$ 2,300,000 - Saint Catherine - 3 days ago",https://cdn2.jacars.net/media/cache/04/e8/04e8897e2a53f033cb12594958b81713.webp|https://cdn2.jacars.net/media/cache/94/75/94758556155fd68c94412459a09517ec.webp|https://cdn2.jacars.net/media/cache/97/e4/97e41700747597c8e1cae1414aa62da1.webp|https://cdn2.jacars.net/media/cache/db/84/db846827e1e6d06f303e1e914e07cb3b.webp|https://cdn2.jacars.net/media/cache/1e/6d/1e6dc7b993bdbab95cd6654bb055a3e7.webp,JACars Vehicles,/adv/2510670_toyota-mark-x-2-5l-2015/,2026-05-05T19:59:25.494Z,Toyota,Mark X,,2015,used,,,,"{""sourceDate"":""3 days ago"",""parser"":""jacars""}"
jacars-2507093,pending,vehicles,vehicles,cars,"KIA Seltos 1,5L 2024","JA$ 4,890,000",4890000,JMD,Kingston,Jamaica,Andre,,"KIA Seltos 1,5L 2024 - JA$ 4,890,000 - Kingston - 3 days ago",https://cdn2.jacars.net/media/cache/71/3c/713c3b4bc19c6d13315f74cd9fca86ea.webp|https://cdn2.jacars.net/media/cache/ae/69/ae69502ca1b52ce77170bd2bbba3db27.webp|https://cdn2.jacars.net/media/cache/86/3f/863f252e9bd3c07724f0959782b44fe8.webp|https://cdn2.jacars.net/media/cache/b9/1c/b91cbc65678436a60051630a02e830d0.webp|https://cdn2.jacars.net/media/cache/34/a0/34a0f2ea83226ce6734f8e3a31934831.webp|https://cdn2.jacars.net/media/cache/b8/88/b88814a0749c2f15f0ade53b1f35db5c.webp|https://cdn2.jacars.net/media/cache/73/1b/731be361802283601691c646df7e6022.webp|https://cdn2.jacars.net/media/cache/72/80/7280055157369c0edcf54f4c44d30c72.webp|https://cdn2.jacars.net/media/cache/75/e0/75e0e1c6e277e4706255c6f2dd3ff1e9.webp|https://cdn2.jacars.net/media/cache/17/b2/17b20c600e56b80ca9e1520a6740d5b5.webp|https://cdn2.jacars.net/media/cache/d9/a7/d9a7fc5756c80a2becdb358609c61b55.webp|https://cdn2.jacars.net/media/cache/db/0b/db0bac13ed20fb12f515ea0859224947.webp|https://cdn2.jacars.net/media/cache/95/9b/959b0695f83ec9a53bf230075e8f5828.webp|https://cdn2.jacars.net/media/cache/68/31/6831ed2bbd4cf422db81be4a0060cb39.webp,JACars Vehicles,/adv/2507093_kia-seltos-2-0l-2024/,2026-05-05T19:59:25.494Z,KIA,Seltos,,2024,used,,,,"{""sourceDate"":""3 days ago"",""parser"":""jacars""}"
jacars-2508967,pending,vehicles,vehicles,cars,"Toyota Voxy 2,0L 2020","JA$ 3,899,000",3899000,JMD,Saint James,Jamaica,Gates Auto,,"Toyota Voxy 2,0L 2020 - JA$ 3,899,000 - Saint James - 3 days ago",https://cdn2.jacars.net/media/cache/95/2e/952e5e63e2c638f0cc025c662802ffdc.webp|https://cdn2.jacars.net/media/cache/b6/93/b6939458944fbb593a4fb027bf124f04.webp|https://cdn2.jacars.net/media/cache/05/69/0569a77e16be3ff8621ed3ccc30d86fc.webp|https://cdn2.jacars.net/media/cache/05/88/0588768ea8286a99db114a86f9e3b020.webp|https://cdn2.jacars.net/media/cache/8c/14/8c14076a183490eb23e8dbeeb1aeab77.webp|https://cdn2.jacars.net/media/cache/11/11/11113546926824a137c0abd221a1e2fb.webp|https://cdn2.jacars.net/media/cache/d6/6a/d66ad41a726a3c9e7c393c5a59e15165.webp|https://cdn2.jacars.net/media/cache/60/ed/60ed6d670088aaed2ec0ad0071dc6acf.webp|https://cdn2.jacars.net/media/cache/62/4c/624c74a964ed7c0f474f423aaab884fb.webp|https://cdn2.jacars.net/media/cache/a4/37/a4371f82566487b12fff6178d6ff72c6.webp,JACars Vehicles,/adv/2508967_toyota-voxy-2-0l-2020/,2026-05-05T19:59:25.494Z,Toyota,Voxy,,2020,used,,,,"{""sourceDate"":""3 days ago"",""parser"":""jacars""}"
jacars-2510155,pending,vehicles,vehicles,cars,"Toyota RAV4 2,5L 2015","JA$ 2,500,000",2500000,JMD,Saint Ann,Jamaica,JACars Vehicles,,"Toyota RAV4 2,5L 2015 - JA$ 2,500,000 - Saint Ann - 4 days ago",https://cdn2.jacars.net/media/cache/41/be/41be67fdb670f97c9d8b2b45de4b6a22.webp|https://cdn2.jacars.net/media/cache/c3/99/c3996a37f2bdfdf53551c7eb78c5197a.webp|https://cdn2.jacars.net/media/cache/c0/1f/c01f72e916fac8cf164b0cea4ab35d6b.webp|https://cdn2.jacars.net/media/cache/ee/31/ee3156ab488dfdb8d93549129fb63a3a.webp,JACars Vehicles,/adv/2510155_toyota-rav4-2-5l-2015/,2026-05-05T19:59:25.494Z,Toyota,RAV4,,2015,used,,,,"{""sourceDate"":""4 days ago"",""parser"":""jacars""}"
jacars-2510634,pending,vehicles,vehicles,cars,"Toyota Paseo 3,0L 2024","JA$ 17,000,000",17000000,JMD,Kingston,Jamaica,Latoya,,"Toyota Paseo 3,0L 2024 - JA$ 17,000,000 - Kingston - 4 days ago",https://cdn2.jacars.net/media/cache/16/65/16650df783287bb6a39a6baaca487d5a.webp|https://cdn2.jacars.net/media/cache/1a/f7/1af72440cac5ffcddbe4ebd004cf589d.webp|https://cdn2.jacars.net/media/cache/b1/1a/b11a01c6b4db2c9d6be6af5d0f46ffaa.webp|https://cdn2.jacars.net/media/cache/9e/d7/9ed7e3c979703170206364b568001850.webp|https://cdn2.jacars.net/media/cache/f7/da/f7da36efc979a1683c0ec86b65440758.webp|https://cdn2.jacars.net/media/cache/5d/be/5dbe7ab95a17dde7af5b30382b61b129.webp|https://cdn2.jacars.net/media/cache/6c/b0/6cb05169e781bea3417122873f30562b.webp|https://cdn2.jacars.net/media/cache/a6/72/a67267eb5c8a9f7428e39700282aea5b.webp|https://cdn2.jacars.net/media/cache/f8/7d/f87d5c957b469e03f7f8537c5cb8dbe0.webp,JACars Vehicles,/adv/2510634_toyota-paseo-3-0l-2024/,2026-05-05T19:59:25.494Z,Toyota,Paseo,,2024,used,,,,"{""sourceDate"":""4 days ago"",""parser"":""jacars""}"
